id,age,sex,tutorial,speed_condition,difficulty,rt,resp,correct_response,correct
1,23,1,0,1,0,0.403747799922712,a,a,1
1,23,1,0,1,0,0.42149199999403203,l,l,1
1,23,1,0,0,0,0.74596680002287,a,a,1
1,23,1,0,0,0,0.439276299905032,l,l,1
1,23,1,0,0,0,0.373585099936463,l,l,1
1,23,1,0,0,0,0.34844170010183,a,a,1
1,23,1,0,0,0,0.456486499984749,l,l,1
1,23,1,0,0,0,0.456710699945688,a,a,1
1,23,1,0,0,0,0.428886499954388,l,l,1
1,23,1,0,0,0,0.395350100006908,a,a,1
1,23,1,0,0,1,0.515240999986418,a,a,1
1,23,1,0,0,1,0.436474299989641,l,l,1
1,23,1,0,0,1,0.449483099975623,l,l,1
1,23,1,0,0,1,0.553450800012797,l,l,1
1,23,1,0,0,1,0.613044600002468,l,l,1
1,23,1,0,0,1,0.543002099962905,l,l,1
1,23,1,0,0,1,0.514244399964809,l,l,1
1,23,1,0,0,1,0.41358789999503603,a,a,1
1,23,1,0,0,0,0.485033700009808,a,a,1
1,23,1,0,0,0,0.462218999979086,l,l,1
1,23,1,0,0,0,0.472430699970573,a,a,1
1,23,1,0,0,0,0.495947899995372,l,l,1
1,23,1,0,0,0,0.514970200019889,a,a,1
1,23,1,0,0,0,0.51656819996424,a,a,1
1,23,1,0,0,0,0.44085639994591497,l,l,1
1,23,1,0,0,0,0.556080600013956,a,a,1
1,23,1,0,0,0,0.531409000046551,a,a,1
1,23,1,0,0,0,0.381990700028837,l,l,1
1,23,1,0,0,0,0.408173199975863,l,l,1
1,23,1,0,0,0,0.419529699953273,l,l,1
1,23,1,0,0,0,0.416199500090443,l,l,1
1,23,1,0,0,0,0.363734100013971,l,l,1
1,23,1,0,0,0,0.40958660002797803,a,a,1
1,23,1,0,0,0,0.433844999992289,a,a,1
1,23,1,0,0,1,0.415443000034429,l,l,1
1,23,1,0,0,1,0.456291800015606,a,a,1
1,23,1,0,0,1,0.6490201000124219,a,a,1
1,23,1,0,0,1,0.469309399952181,a,a,1
1,23,1,0,0,1,0.692561300005764,a,a,1
1,23,1,0,0,1,0.447019799961708,l,l,1
1,23,1,0,0,1,0.372388899908401,l,a,0
1,23,1,0,0,1,0.618937500054017,a,a,1
1,23,1,0,0,2,0.772211999981664,a,a,1
1,23,1,0,0,2,0.680663299979642,a,a,1
1,23,1,0,0,2,0.516058499924839,l,l,1
1,23,1,0,0,2,0.495974299963564,l,l,1
1,23,1,0,0,2,0.446053600055166,l,l,1
1,23,1,0,0,2,0.721338200033642,l,l,1
1,23,1,0,0,2,0.502332899952307,l,a,0
1,23,1,0,0,2,1.1740012000082098,a,a,1
1,23,1,0,1,1,0.858739599934779,l,l,1
